iso3,gdp_per_capita,unemployment_rate,life_expectancy,literacy_rate,gini_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_index,safety_index,healthcare_index,traffic_index,pollution_index,visa_free_count,residency_difficulty,digital_nomad_visa,investor_visa,eu_member,schengen,ru_visa_free,ru_banking_access,ru_sanctions_risk,country
HUN,0.16246209710729811,0.13610861411611547,0.7376533782930805,0.8332763365973519,0.965217391304348,0.30501089324618735,0.2767732962447844,0.2972677595628415,0.30625,0.4165181224004755,0.7063253012048191,0.30296610169491545,0.3410672853828307,0.45683930942895085,0.9492753623188406,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.5,0.5,Hungary
IDN,0.02810051005014274,0.09630823595052852,0.5561104934576251,0.8332763365973519,0.0,0.07843137254901963,0.0848400556328234,0.1683060109289618,0.0,0.12477718360071302,0.5120481927710843,0.4512711864406782,0.517401392111369,0.7463479415670651,0.14492753623188404,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.75,0.0,Indonesia
IND,0.01178205263652855,0.1267474659805958,0.5877346234825078,0.26486266696813443,0.965217391304348,0.0,0.0,0.03715846994535521,0.003124999999999989,0.4046345811051695,0.5451807228915662,0.5423728813559323,0.5986078886310906,0.8100929614873837,0.9492753623188406,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.5,0.0,India
IRL,0.8179430892939911,0.13954930101360777,0.9475469654209092,0.8332763365973519,0.965217391304348,0.5631808278867102,0.643949930458971,0.5530054644808744,0.6385416666666666,0.6304218657159835,0.4728915662650601,0.2394067796610171,0.38515081206496515,0.3041168658698539,0.9782608695652175,0.6666666666666667,0.0,1.0,1.0,0.0,0.0,0.25,1.0,Ireland
IRN,0.03003718820148045,0.2532779517063947,0.7753755808318379,0.5138798603486872,0.965217391304348,0.04248366013071897,0.052851182197496516,0.027322404371584702,0.009374999999999994,0.13071895424836602,0.4457831325301205,0.27330508474576276,0.6125290023201857,0.8419654714475433,0.9492753623188406,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.5,0.0,"Iran, Islamic Rep."
ISL,0.621491668581556,0.10833514150212332,0.9408681628813358,0.8332763365973519,0.965217391304348,0.8529411764705883,0.8831710709318501,0.9431693989071037,0.9333333333333333,0.6262626262626263,0.8268072289156626,0.6186440677966101,0.0,0.06905710491367859,0.9782608695652175,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.25,1.0,Iceland
ISR,0.3883941971899123,0.1041195251232138,0.9538185239031931,0.9402118141200901,0.965217391304348,0.6623093681917211,0.6342141863699584,0.6098360655737705,0.7770833333333333,0.661319073083779,0.7319277108433734,0.7097457627118646,0.3735498839907193,0.593625498007968,0.7753623188405798,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,Israel
ITA,0.287504708358275,0.19407333932612136,0.97898620664378,0.8332763365973519,0.965217391304348,0.4629629629629629,0.42698191933240626,0.4863387978142077,0.5145833333333334,0.4806892453951278,0.49849397590361444,0.5296610169491527,0.2621809744779583,0.548472775564409,0.9782608695652175,0.6666666666666667,1.0,1.0,1.0,1.0,0.0,0.25,1.0,Italy
JOR,0.025852228151958576,0.5085087257059608,0.779616620444467,0.8209771621203492,0.965217391304348,0.22331154684095858,0.1794158553546593,0.1978142076502732,0.26458333333333334,0.2733214497920381,0.6129518072289155,0.5444915254237288,0.4663573085846868,0.8671978751660026,0.7753623188405798,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.5,0.0,Jordan
JPN,0.2297255802562997,0.07194445305477204,0.9818287701636719,0.8332763365973519,0.965217391304348,0.31154684095860563,0.2837273991655077,0.42185792349726775,0.15625,0.6535947712418301,0.8674698795180721,0.8516949152542372,0.4501160092807426,0.34528552456839307,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,1.0,Japan
